Title,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),World Wide Sales (in $),Release Date,Running Time,License
The Green Mile,1999,Warner Bros.,60000000,18017152,136801374,150000000,286801374,10-Dec-99,3 hr 9 min,R
The Expendables,2010,Lionsgate,80000000,34825135,103068524,171401870,274470394,12-Aug-10,1 hr 43 min,R
Meet the Parents,2000,Universal Pictures,55000000,28623300,166244045,164200000,330444045,6-Oct-00,1 hr 48 min,PG-13
Top Gun: Maverick,2022,Paramount Pictures,May 20 2022 (Iceland),126707459,718732821,776963471,1495696292,1-Apr-15,2 hr 17 min,PG-13
Elf,2003,New Line Cinema,33000000,32100000,178053220,49302936,227356156,7-Nov-03,1 hr 37 min,PG
Salt,2010,Sony Pictures Entertainment (SPE),110000000,36011243,118311368,175191986,293503354,21-Jul-10,1 hr 40 min,PG-13
Real Steel,2011,Walt Disney Studios Motion Pictures,October 5 2011 (Egypt),27319677,85468508,213800000,299268508,20-Jun-97,1 hr 45 min,PG-13
Ocean's Twelve,2004,Warner Bros.,110000000,39153380,125544280,237200000,362744280,9-Dec-04,2 hr 5 min,PG-13
The Chronicles of Narnia: Prince Caspian,2008,Walt Disney Studios Motion Pictures,225000000,55034805,141621490,278044078,419665568,15-May-08,2 hr 30 min,PG
Mr. Bean's Holiday,2007,Universal Pictures,March 22 2007 (APAC),9889780,33302167,198923741,232225908,11-Oct-12,2 hr,R
I Now Pronounce You Chuck & Larry,2007,Universal Pictures,85000000,34233750,120059556,67074561,187134117,20-Jul-07,1 hr 55 min,PG-13
The Twilight Saga: Eclipse,2010,Summit Entertainment,68000000,64832191,300531751,397978074,698509825,30-Jun-10,2 hr 4 min,PG-13
Tomorrowland,2015,Walt Disney Studios Motion Pictures,190000000,33028165,93436322,115599346,209035668,20-May-15,2 hr 10 min,PG
The Man in the Iron Mask,1998,Metro-Goldwyn-Mayer (MGM),March 13 1998 (Domestic),17271450,56968902,126000000,182968902,15-Mar-12,1 hr 46 min,PG
Gone in 60 Seconds,2000,Walt Disney Studios Motion Pictures,90000000,25336048,101648571,135553728,237202299,9-Jun-00,1 hr 58 min,PG-13
Better Days,2019,Well Go USA Entertainment,June 27 2019 (APAC),989536,1921657,223997141,225918798,20-Jul-17,2 hr 16 min,PG-13
The Curious Case of Benjamin Button,2008,Paramount Pictures,150000000,26853816,127509326,208293460,335802786,25-Dec-08,2 hr 46 min,PG-13
Aladdin,1992,Walt Disney Studios Motion Pictures,28000000,196664,217350219,286700000,504050219,13-Nov-92,1 hr 30 min,NA
Monster Hunt,2015,FilmRise,July 16 2015 (APAC China),21074,32766,387020740,387053506,26-Jun-07,2 hr 8 min,PG-13
WALL·E,2008,Walt Disney Studios Motion Pictures,180000000,63087526,223808164,297503726,521311890,26-Jun-08,1 hr 38 min,NA
Creed II,2018,Metro-Goldwyn-Mayer (MGM),50000000,35574710,115715889,98500000,214215889,21-Nov-18,2 hr 10 min,PG-13
Eternals,2021,Walt Disney Studios Motion Pictures,November 3 2021 (EMEA APAC),71297219,164870234,237194665,402064899,18-Jul-18,1 hr 54 min,PG-13
Transformers: Rise of the Beasts,2023,Paramount Pictures,June 7 2023 (EMEA APAC),61045464,157066392,281900000,438966392,25-May-16,2 hr 3 min,PG-13
The Dark Knight,2008,Warner Bros.,185000000,158411483,534987076,471467753,1006454829,16-Jul-08,2 hr 32 min,PG-13
Star Trek,2009,Paramount Pictures,150000000,75204289,257730019,127950427,385680446,6-May-09,2 hr 7 min,PG-13
It's Complicated,2009,Universal Pictures,85000000,22100820,112735375,106368280,219103655,23-Dec-09,2 hr 1 min,R
The Avengers,2012,Walt Disney Studios Motion Pictures,220000000,207438708,623357910,897180626,1520538536,25-Apr-12,2 hr 23 min,PG-13
Crazy Rich Asians,2018,Warner Bros.,30000000,26510140,174837452,64006277,238843729,15-Aug-18,2 hr,PG-13
Hacksaw Ridge,2016,Lionsgate,40000000,15190758,67209615,113354021,180563636,3-Nov-16,2 hr 19 min,R
Kung Fu Yoga,2017,Well Go USA Entertainment,65000000,111979,362657,257391232,257753889,26-Jan-17,1 hr 47 min,NA
Fast & Furious 6,2013,Universal Pictures,160000000,97375245,238679850,550001118,788680968,17-May-13,2 hr 10 min,PG-13
Journey 2: The Mysterious Island,2012,Warner Bros.,79000000,27335363,103887748,231400000,335287748,19-Jan-12,1 hr 34 min,PG
Lost in Thailand,2012,AMC Theaters,December 12 2012 (China),32206,57387,197700000,197757387,2-Aug-12,1 hr 58 min,PG-13
American Gangster,2007,Universal Pictures,100000000,43565135,130164645,139590785,269755430,2-Nov-07,2 hr 37 min,R
Lincoln,2012,Walt Disney Studios Motion Pictures,65000000,944308,182207973,93085477,275293450,9-Nov-12,2 hr 30 min,PG-13
The Hobbit: The Battle of the Five Armies,2014,Warner Bros.,December 10 2014 (EMEA),54724334,255138261,707063077,962201338,7-Apr-16,1 hr 46 min,PG
Welcome to the Sticks,2008,,August 1 2019 (China APAC),February 27 2008 (EMEA),245144417,245144417,245179562,19-Jun-03,2 hr 18 min,PG-13
Cape Fear,1991,Universal Pictures,November 15 1991 (Domestic),10261025,79091969,103200000,182291969,15-Mar-12,1 hr 46 min,PG
Hairspray,2007,New Line Cinema,July 19 2007 (Puerto Rico),27800000,118946291,84681462,203627753,5-Jun-08,1 hr 53 min,PG-13
The Lord of the Rings: The Two Towers,2002,New Line Cinema,94000000,62007528,342952511,604991759,947944270,18-Dec-02,2 hr 59 min,PG-13
The Passion of the Christ,2004,Newmarket Films,30000000,83848082,370782930,241271576,612054506,25-Feb-04,2 hr 7 min,R
The Ex-File 3: Return of the Exes,2017,China Lion Film Distribution,December 28 2017 (APAC),125291,838959,306753468,307592427,20-Nov-09,2 hr 9 min,PG-13
Noah,2014,Paramount Pictures,125000000,43720472,101200044,258000000,359200044,20-Mar-14,2 hr 18 min,PG-13
Bad Boys II,2003,Sony Pictures Entertainment (SPE),130000000,46522560,138608444,134731112,273339556,18-Jul-03,2 hr 27 min,R
How to Train Your Dragon,2010,DreamWorks,165000000,43732319,217581231,277298240,494879471,18-Mar-10,1 hr 38 min,PG
Resident Evil: Retribution,2012,Screen Gems,65000000,21052227,42345531,197813724,240159255,12-Sep-12,1 hr 35 min,R
Wrath of the Titans,2012,Warner Bros.,150000000,33457188,83670083,218300000,301970083,28-Mar-12,1 hr 39 min,PG-13
Abominable,2019,Universal Pictures,75000000,20612100,61270390,129034382,190304772,19-Sep-19,1 hr 37 min,PG
Deja Vu,2006,Walt Disney Studios Motion Pictures,75000000,20574802,64038616,116518934,180557550,22-Nov-06,2 hr 6 min,PG-13
Collateral,2004,DreamWorks Distribution,65000000,24701458,101005703,119234222,220239925,5-Aug-04,2 hr,R
The Twilight Saga: New Moon,2009,Summit Entertainment,50000000,142839137,297816253,413209228,711025481,18-Nov-09,2 hr 10 min,PG-13
X2,2003,Twentieth Century Fox,110000000,85558731,214949694,192761855,407711549,30-Apr-03,2 hr 14 min,PG-13
London Has Fallen,2016,Focus Features,60000000,21635601,62524260,143230187,205754447,2-Mar-16,1 hr 39 min,R
Moulin Rouge!,2001,Twentieth Century Fox,50000000,167540,57386607,127541935,184928542,18-May-01,2 hr 7 min,PG-13
Wolf Warrior 2,2017,The H Collective,30100000,219022,2721100,867604339,870325439,27-Jul-17,2 hr 3 min,PG-13
Kong: Skull Island,2017,Warner Bros.,185000000,61025472,168052812,398600000,566652812,8-Mar-17,1 hr 58 min,PG-13
National Treasure: Book of Secrets,2007,Walt Disney Studios Motion Pictures,December 19 2007 (APAC),44783772,219964115,239278134,459242249,24-May-06,1 hr 44 min,PG-13
Christopher Robin,2018,Walt Disney Studios Motion Pictures,75000000,24585139,99215042,98529335,197744377,1-Aug-18,1 hr 44 min,PG
Runaway Bride,1999,Paramount Pictures,70000000,35055556,152257509,157202783,309460292,30-Jul-99,1 hr 56 min,PG
The Matrix Revolutions,2003,Warner Bros.,150000000,48475154,139313948,288030377,427344325,5-Nov-03,2 hr 9 min,R
Outbreak,1995,Warner Bros.,March 10 1995 (Domestic),13420387,67659560,122200000,189859560,4-Aug-00,1 hr 52 min,R
San Andreas,2015,Warner Bros.,110000000,54588173,155190832,318818322,474009154,22-May-15,1 hr 54 min,PG-13
Speed,1994,Twentieth Century Fox,30000000,14456194,121248145,229200000,350448145,10-Jun-94,1 hr 56 min,R
Despicable Me 3,2017,Universal Pictures,80000000,72434025,264624300,770175831,1034800131,14-Jun-17,1 hr 29 min,PG
The Hunger Games: Mockingjay - Part 2,2015,Lionsgate,160000000,102665981,281723902,371704359,653428261,18-Nov-15,2 hr 17 min,PG-13
Notting Hill,1999,Universal Pictures,42000000,21811180,116089678,247800000,363889678,28-May-99,2 hr 4 min,PG-13
Toy Story 3,2010,Walt Disney Studios Motion Pictures,200000000,110307189,415004880,652311221,1067316101,16-Jun-10,1 hr 43 min,G
The Full Monty,1997,Fox Searchlight,3500000,176585,45950122,211988527,257938649,15-Aug-97,1 hr 31 min,R
Jaws,1975,Universal Pictures,7000000,7061513,265859065,210653000,476512065,20-Jun-75,2 hr 4 min,NA
X-Men: Days of Future Past,2014,Twentieth Century Fox,200000000,90823660,233921534,512124166,746045700,21-May-14,2 hr 12 min,PG-13
Happy Feet,2006,Warner Bros.,100000000,41533432,198000317,186335791,384336108,17-Nov-06,1 hr 48 min,PG
The Karate Kid,2010,Sony Pictures Entertainment (SPE),40000000,55665805,176591618,182534404,359126022,10-Jun-10,2 hr 20 min,PG
Little Women,2019,Sony Pictures Entertainment (SPE),40000000,16755310,108101214,110742431,218843645,25-Dec-19,2 hr 15 min,PG
Bruce Almighty,2003,Universal Pictures,81000000,67953330,242829261,241763613,484592874,23-May-03,1 hr 41 min,PG-13
Grown Ups 2,2013,Sony Pictures Entertainment (SPE),80000000,41508572,133668525,113315753,246984278,11-Jul-13,1 hr 41 min,PG-13
Bee Movie,2007,DreamWorks,150000000,38021044,126631277,166883059,293514336,1-Nov-07,1 hr 31 min,PG
Fifty Shades Darker,2017,Universal Pictures,55000000,46607250,114581250,266964596,381545846,8-Feb-17,1 hr 58 min,R
Yogi Bear,2010,Warner Bros.,80000000,16411322,100246011,103263363,203509374,17-Dec-10,1 hr 21 min,PG
A Series of Unfortunate Events,2004,Paramount Pictures,140000000,30061756,118634549,92833686,211468235,16-Dec-04,1 hr 48 min,PG
Hansel & Gretel: Witch Hunters,2013,Paramount Pictures,50000000,19690956,55703475,170646274,226349749,17-Jan-13,1 hr 28 min,R
Twister,1996,Warner Bros.,92000000,41059405,241830615,252750000,494580615,10-May-96,1 hr 53 min,NA
The Girl with the Dragon Tattoo,2011,Sony Pictures Entertainment (SPE),90000000,12768604,102515793,130101637,232617430,21-Dec-11,2 hr 38 min,R
Clash of the Titans,2010,Warner Bros.,125000000,61235105,163214888,330000105,493214993,31-Mar-10,1 hr 46 min,PG-13
Wreck-It Ralph,2012,Walt Disney Studios Motion Pictures,165000000,49038712,189422889,281800000,471222889,1-Nov-12,1 hr 41 min,PG
Gone Girl,2014,Twentieth Century Fox,61000000,37513109,167767189,201563174,369330363,2-Oct-14,2 hr 29 min,R
Resident Evil: Afterlife,2010,Screen Gems,60000000,26650264,60128566,240099518,300228084,9-Sep-10,1 hr 36 min,R
Braveheart,1995,Paramount Pictures,72000000,9938276,75609945,137606271,213216216,24-May-95,2 hr 58 min,R
Scooby-Doo 2: Monsters Unleashed,2004,Warner Bros.,March 26 2004 (10 markets),29438331,84239132,97000000,181239132,10-May-06,1 hr 38 min,PG-13
Into the Woods,2014,Walt Disney Studios Motion Pictures,50000000,31051923,128002372,84900000,212902372,24-Dec-14,2 hr 5 min,PG
Deadpool,2016,Twentieth Century Fox,58000000,132434639,363070709,419766082,782836791,9-Feb-16,1 hr 48 min,R
Ferdinand,2017,Twentieth Century Fox,111000000,13401586,84410380,211658819,296069199,13-Dec-17,1 hr 48 min,PG
Dinosaur,2000,Walt Disney Studios Motion Pictures,127500000,38854851,137748063,212074702,349822765,19-May-00,1 hr 22 min,PG
We're the Millers,2013,Warner Bros.,37000000,26419396,150394119,119600000,269994119,29-Aug-12,1 hr 50 min,R
Hollow Man,2000,Sony Pictures Entertainment (SPE),95000000,26414386,73209340,117004115,190213455,4-Aug-00,1 hr 52 min,R
The Smurfs,2011,Sony Pictures Entertainment (SPE),110000000,35611637,142614158,421135165,563749323,27-Jul-11,1 hr 43 min,PG
Se7en,1995,New Line Cinema,33000000,13949807,100125643,227207916,327333559,22-Sep-95,2 hr 7 min,R
Sleepy Hollow,1999,Paramount Pictures,100000000,30060467,101071502,105000000,206071502,19-Nov-99,1 hr 45 min,R
Sully,2016,Warner Bros.,60000000,35028301,125070033,115727590,240797623,8-Sep-16,1 hr 36 min,PG-13
Jaws 2,1978,Universal Pictures,June 16 1978 (Domestic),9866023,81766007,106118000,187884007,19-Dec-13,1 hr 54 min,PG
Demon Slayer the Movie: Mugen Train,2020,FUNimation Entertainment,October 16 2020 (Japan),21234994,49505008,403705951,453210959,5-Dec-03,2 hr 34 min,R
The Lone Ranger,2013,Walt Disney Studios Motion Pictures,215000000,29210849,89302115,171200000,260502115,3-Jul-13,2 hr 30 min,PG-13
The Ugly Truth,2009,Sony Pictures Entertainment (SPE),38000000,27605576,88915214,116684179,205599393,26-Feb-09,1 hr 36 min,R
Men in Black,1997,Sony Pictures Entertainment (SPE),90000000,51068455,250690539,338700000,589390539,2-Jul-97,1 hr 38 min,PG-13
Life of Pi,2012,Twentieth Century Fox,120000000,22451514,124987023,484029542,609016565,21-Nov-12,2 hr 7 min,PG
Aladdin,2019,Walt Disney Studios Motion Pictures,183000000,91500929,355559216,698744784,1054304000,22-May-19,2 hr 8 min,PG
The Mermaid,2016,Sony Pictures Entertainment (SPE),February 8 2016 (China APAC),985052,3232685,550577543,553810228,27-Oct-11,1 hr 30 min,PG
The Bourne Legacy,2012,Universal Pictures,125000000,38142825,113203870,162940880,276144750,8-Aug-12,2 hr 15 min,PG-13
Venom,2018,Sony Pictures Entertainment (SPE),100000000,80255756,213515506,642569645,856085151,3-Oct-18,1 hr 52 min,PG-13
District 9,2009,TriStar Pictures,30000000,37354308,115646235,95242715,210888950,13-Aug-09,1 hr 52 min,R
Ne Zha,2019,Well Go USA Entertainment,July 26 2019 (China),1015755,3695533,722568541,726264074,28-May-09,1 hr 36 min,PG
The Lorax,2012,Universal Pictures,70000000,70217070,214373500,134809816,349183316,1-Mar-12,1 hr 26 min,PG
Million Dollar Baby,2004,Warner Bros.,30000000,179953,100492203,116271443,216763646,15-Dec-04,2 hr 12 min,PG-13
Black Panther: Wakanda Forever,2022,Walt Disney Studios Motion Pictures,November 4 2022 (Iceland),181339761,453829060,405379776,859208836,25-Apr-17,2 hr 16 min,PG-13
Us,2019,Universal Pictures,20000000,71117625,175084580,80982569,256067149,20-Mar-19,1 hr 56 min,R
Indiana Jones and the Temple of Doom,1984,Paramount Pictures,28000000,25337110,179870271,153237000,333107271,23-May-84,1 hr 58 min,NA
Scary Movie,2000,Miramax,19000000,42346669,157019771,121000000,278019771,7-Jul-00,1 hr 28 min,R
John Wick: Chapter 4,2023,Lionsgate,March 22 2023 (11 markets),73817950,187131806,239400091,426531897,5-Nov-03,2 hr 9 min,R
Cats & Dogs,2001,Warner Bros.,60000000,21707617,93385515,107301977,200687492,4-Jul-01,1 hr 27 min,PG
Kung Fu Panda 3,2016,Twentieth Century Fox,145000000,41282042,143528619,377642206,521170825,28-Jan-16,1 hr 35 min,PG
Aquaman,2018,Warner Bros.,December 7 2018 (China),67873522,335104314,813424079,1148528393,27-Apr-16,2 hr 27 min,PG-13
The Hunger Games: Catching Fire,2013,Lionsgate,130000000,158074286,424668047,440343699,865011746,15-Nov-13,2 hr 26 min,PG-13
The Mummy,1999,Universal Pictures,80000000,43369635,155385488,260547918,415933406,7-May-99,2 hr 4 min,PG-13
Jurassic World Dominion,2022,Universal Pictures,June 1 2022 (South Korea),145075625,376851080,625127000,1001978080,16-Jul-08,2 hr 32 min,PG-13
Mission: Impossible - Rogue Nation,2015,Paramount Pictures,150000000,55520089,195042377,487674259,682716636,24-Jul-15,2 hr 11 min,PG-13
Glass,2019,Universal Pictures,20000000,40328920,111048468,135950571,246999039,16-Jan-19,2 hr 9 min,PG-13
Spider-Man: Far from Home,2019,Sony Pictures Entertainment (SPE),160000000,92579212,390532085,741395911,1131927996,28-Jun-19,2 hr 9 min,PG-13
Public Enemies,2009,Universal Pictures,100000000,25271675,97104620,117000000,214104620,24-Jun-09,2 hr 20 min,R
Fun with Dick and Jane,2005,Sony Pictures Entertainment (SPE),100000000,14383515,110332737,94349162,204681899,21-Dec-05,1 hr 30 min,PG-13
The Bourne Supremacy,2004,Universal Pictures,75000000,52521865,176241941,114593328,290835269,23-Jul-04,1 hr 48 min,PG-13
The Simpsons Movie,2007,Twentieth Century Fox,75000000,74036787,183135014,353279279,536414293,25-Jul-07,1 hr 27 min,PG-13
Teenage Mutant Ninja Turtles,2014,Paramount Pictures,125000000,65575105,191204754,293800000,485004754,7-Aug-14,1 hr 41 min,PG-13
Beowulf,2007,Paramount Pictures,150000000,27515871,82280579,114113166,196393745,14-Nov-07,1 hr 55 min,PG-13
Smile,2022,Paramount Pictures,September 23 2022 (Iceland),22609925,105935048,111473465,217408513,27-Jul-17,1 hr 26 min,PG
The Golden Compass,2007,New Line Cinema,180000000,26125000,70107728,302127136,372234864,5-Dec-07,1 hr 53 min,PG-13
The Hunt for Red October,1990,Paramount Pictures,30000000,17161835,122012643,78500000,200512643,2-Mar-90,2 hr 15 min,NA
Fantastic Beasts and Where to Find Them,2016,Warner Bros.,180000000,74403387,234037575,580006426,814044001,16-Nov-16,2 hr 12 min,PG-13
Beverly Hills Cop II,1987,Paramount Pictures,May 20 1987 (Domestic),26348555,153665036,146300000,299965036,17-Dec-99,1 hr 24 min,PG
The Wolf of Wall Street,2013,Paramount Pictures,100000000,18361578,116900694,289977539,406878233,25-Dec-13,3 hr,R
Rise of the Guardians,2012,DreamWorks,145000000,23773465,103412758,203528912,306941670,21-Nov-12,1 hr 37 min,PG
Road to Perdition,2002,DreamWorks Distribution,80000000,22079481,104454762,76546716,181001478,12-Jul-02,1 hr 57 min,R
Home,2015,Twentieth Century Fox,135000000,52107731,177397510,208644097,386041607,19-Mar-15,1 hr 34 min,PG
Madagascar: Escape 2 Africa,2008,DreamWorks,150000000,63106589,180010950,423889404,603900354,30-Oct-08,1 hr 29 min,PG
Angels & Demons,2009,Sony Pictures Entertainment (SPE),150000000,46204168,133375846,352554970,485930816,13-May-09,2 hr 18 min,PG-13
Fahrenheit 9/11,2004,Lionsgate,6000000,23920637,119194771,103252111,222446882,23-Jun-04,2 hr 2 min,R
G.I. Joe: Retaliation,2013,Paramount Pictures,130000000,40501814,122523060,253217645,375740705,27-Mar-13,1 hr 50 min,PG-13
Toy Story 4,2019,Walt Disney Studios Motion Pictures,200000000,120908065,434038008,639803386,1073841394,20-Jun-19,1 hr 40 min,G
The Social Network,2010,Sony Pictures Entertainment (SPE),40000000,22445653,96962694,127957681,224920375,1-Oct-10,2 hr,PG-13
Trolls,2016,Twentieth Century Fox,125000000,46581142,154025064,193157822,347182886,13-Oct-16,1 hr 32 min,PG
King Kong,2005,Universal Pictures,207000000,50130145,218080025,338826353,556906378,14-Dec-05,3 hr 7 min,PG-13
The Hobbit: The Desolation of Smaug,2013,Warner Bros.,December 11 2013 (EMEA APAC),73645197,258387334,700640658,959027992,22-May-07,2 hr 49 min,PG-13
Stargate,1994,Metro-Goldwyn-Mayer (MGM),October 28 1994 (Domestic),16651018,71567262,125000000,196567262,17-Apr-14,1 hr 49 min,PG-13
Shrek,2001,DreamWorks Distribution,60000000,42347760,268163011,220278357,488441368,16-May-01,1 hr 30 min,PG
Spider-Man: Into the Spider-Verse,2018,Sony Pictures Entertainment (SPE),90000000,35363376,190241310,194057426,384298736,12-Dec-18,1 hr 57 min,PG
Pirates of the Caribbean: On Stranger Tides,2011,Walt Disney Studios Motion Pictures,250000000,90151958,241071802,805649464,1046721266,18-May-11,2 hr 17 min,PG-13
Terminator Salvation,2009,Warner Bros.,200000000,42558390,125322469,246030532,371353001,20-May-09,1 hr 55 min,PG-13
Les Misérables,2012,Universal Pictures,61000000,27281735,148809770,293489539,442299309,19-Dec-12,2 hr 38 min,PG-13
Mojin: The Lost Legend,2015,Well Go USA Entertainment,37000000,279974,1243810,258124638,259368448,17-Dec-15,2 hr 7 min,NA
xXx,2002,Revolution Studios,70000000,44506103,142109382,135339000,277448382,9-Aug-02,2 hr 4 min,PG-13
Liar Liar,1997,Universal Pictures,March 21 1997 (Domestic),31423025,181410615,121300000,302710615,11-Apr-12,2 hr 11 min,PG-13
Jurassic World: Fallen Kingdom,2018,Universal Pictures,170000000,148024610,417719760,892746536,1310466296,6-Jun-18,2 hr 8 min,PG-13
The Revenant,2015,Twentieth Century Fox,135000000,474560,183637894,349312609,532950503,25-Dec-15,2 hr 36 min,R
The Bourne Ultimatum,2007,Universal Pictures,110000000,69283690,227471070,216628965,444100035,3-Aug-07,1 hr 55 min,PG-13
Gladiator,2000,DreamWorks Distribution,103000000,34819017,187705427,315456886,503162313,4-May-00,2 hr 35 min,R
John Wick: Chapter 3 - Parabellum,2019,Lionsgate,75000000,56818067,171015687,157333700,328349387,15-May-19,2 hr 10 min,R
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Twentieth Century Fox,155000000,24005069,104386950,311299267,415686217,2-Dec-10,1 hr 53 min,PG
Indiana Jones and the Last Crusade,1989,Paramount Pictures,48000000,29355021,197171806,277000000,474171806,24-May-89,2 hr 7 min,PG-13
Rush Hour,1998,New Line Cinema,33000000,33001803,141186864,103534200,244721064,18-Sep-98,1 hr 38 min,PG-13
Halloween,2018,Universal Pictures,10000000,76221545,159342015,100597820,259939835,17-Oct-18,1 hr 46 min,R
Ponyo,2008,Walt Disney Studios Motion Pictures,July 19 2008 (Japan),3585852,15743471,189177411,204920882,19-Jan-17,1 hr 40 min,PG
Raging Fire,2021,Well Go USA Entertainment,July 30 2021 (China),101926,385305,205457088,205842393,5-Dec-06,2 hr 16 min,PG-13
Traffic,2000,USA Films,December 27 2000 (Domestic),184725,124115725,83400000,207515725,22-Jun-01,1 hr 46 min,PG-13
Yes Man,2008,Warner Bros.,70000000,18262471,97690976,125550661,223241637,18-Dec-08,1 hr 44 min,PG-13
The Mummy,2017,Universal Pictures,125000000,31688375,80227895,329003712,409231607,6-Jun-17,1 hr 51 min,PG-13
Cinderella,2015,Walt Disney Studios Motion Pictures,95000000,67877361,201151353,341206978,542358331,11-Mar-15,1 hr 45 min,PG
2 Fast 2 Furious,2003,Universal Pictures,76000000,50472480,127154901,109195760,236350661,5-Jun-03,1 hr 47 min,PG-13
Terminator Genisys,2015,Paramount Pictures,155000000,27018486,89760956,350842581,440603537,25-Jun-15,2 hr 6 min,PG-13
Kingsman: The Golden Circle,2017,Twentieth Century Fox,104000000,39023010,100234838,310667824,410902662,20-Sep-17,2 hr 21 min,R
The Last Samurai,2003,Warner Bros.,140000000,24271354,111127263,343500000,454627263,5-Dec-03,2 hr 34 min,R
Sonic the Hedgehog,2020,Paramount Pictures,85000000,58018348,148974665,170741018,319715683,12-Feb-20,1 hr 39 min,PG
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Paramount Pictures,135000000,35316382,82051601,163572247,245623848,2-Jun-16,1 hr 52 min,PG-13
Con Air,1997,Walt Disney Studios Motion Pictures,75000000,24131738,101117573,122894661,224012234,6-Jun-97,1 hr 55 min,R
Ghostbusters,1984,Columbia Pictures,30000000,13578151,243578797,53000000,296578797,8-Jun-84,1 hr 45 min,NA
Who Framed Roger Rabbit,1988,Walt Disney Studios Motion Pictures,70000000,11226239,156452370,173351588,329803958,24-Jun-88,1 hr 44 min,NA
Youth,2017,China Lion Film Distribution,December 14 2017 (APAC),338604,1891956,225199334,227091290,7-Nov-03,1 hr 37 min,PG
Rango,2011,Paramount Pictures,135000000,38079323,123477607,122246996,245724603,2-Mar-11,1 hr 47 min,PG
The Boss Baby,2017,Twentieth Century Fox,March 23 2017 (5 markets),50198902,175003033,352962903,527965936,28-Jun-18,1 hr 37 min,PG
The Heat,2013,Twentieth Century Fox,43000000,39115043,159582188,70348583,229930771,27-Jun-13,1 hr 57 min,R
Independence Day,1996,Twentieth Century Fox,75000000,50228264,306169268,511231623,817400891,3-Jul-96,2 hr 25 min,PG-13
Star Wars: Episode VIII - The Last Jedi,2017,Walt Disney Studios Motion Pictures,317000000,220009584,620181382,714226324,1334407706,13-Dec-17,2 hr 32 min,PG-13
Shakespeare in Love,1998,Miramax,25000000,224012,100317794,189000000,289317794,11-Dec-98,2 hr 3 min,R
The Super Mario Bros. Movie,2023,Universal Pictures,April 5 2023 (18 markets),146361865,574934330,785829724,1360764054,22-Apr-15,2 hr 21 min,PG-13
Toy Story 2,1999,Walt Disney Studios Motion Pictures,90000000,300163,245852179,251523202,497375381,19-Nov-99,1 hr 32 min,NA
The Nun II,2023,Warner Bros.,September 6 2023 (APAC EMEA),32603336,69222000,135000000,204222000,5-Jun-08,1 hr 53 min,PG-13
Battle Los Angeles,2011,Sony Pictures Entertainment (SPE),70000000,35573187,83552429,128266925,211819354,9-Mar-11,1 hr 56 min,PG-13
Wonder,2017,Lionsgate,October 17 2017 (Lithuania),27547866,132422809,182603121,315025930,25-Jul-97,2 hr 4 min,R
Cars,2006,Walt Disney Studios Motion Pictures,120000000,60119509,244082982,217908885,461991867,8-Jun-06,1 hr 57 min,NA
Avatar: The Way of Water,2022,20th Century Studios,December 14 2022 (EMEA APAC),134100226,684075767,1636174514,2320250281,24-Apr-19,3 hr 1 min,PG-13
The Hunger Games,2012,Lionsgate,78000000,152535747,408010692,286384032,694394724,8-Mar-12,2 hr 22 min,PG-13
Back to the Future Part II,1989,Universal Pictures,40000000,27835125,119000002,213500000,332500002,22-Nov-89,1 hr 48 min,NA
Annabelle Comes Home,2019,Warner Bros.,30000000,20269723,74152591,157100000,231252591,23-Jun-19,1 hr 46 min,R
The Conjuring: The Devil Made Me Do It,2021,Warner Bros.,May 26 2021 (Egypt),24104332,65631050,140800000,206431050,24-Dec-93,2 hr 5 min,PG-13
The Nutty Professor,1996,Universal Pictures,54000000,25411725,128814019,145147000,273961019,28-Jun-96,1 hr 35 min,PG-13
Mamma Mia! Here We Go Again,2018,Universal Pictures,75000000,34952180,120634935,281629908,402264843,18-Jul-18,1 hr 54 min,PG-13
22 Jump Street,2014,Sony Pictures Entertainment (SPE),50000000,57071445,191719337,139614539,331333876,5-Jun-14,1 hr 52 min,R
Godzilla,1998,Sony Pictures Entertainment (SPE),130000000,44047541,136314294,242700000,379014294,20-May-98,2 hr 19 min,PG-13
Sing 2,2021,Universal Pictures,December 2 2021 (EMEA),22326230,162790990,245611151,408402141,20-Nov-08,2 hr 2 min,PG-13
M3GAN,2022,Universal Pictures,December 28 2022 (EMEA),30429860,95043350,84925523,179968873,22-Nov-06,2 hr 6 min,PG-13My Big Fat Greek Wedding,2002,IFC Films,5000000,597362,241438208,127305836,368744044,19-Apr-02,1 hr 35 min,PG
Wild Wild West,1999,Warner Bros.,170000000,27687484,113804681,108300000,222104681,30-Jun-99,1 hr 46 min,PG-13
Four Weddings and a Funeral,1994,Gramercy Pictures (I),4400000,138486,52700832,193000000,245700832,11-Mar-94,1 hr 57 min,R
The Aviator,2004,Miramax,110000000,858021,102610330,111109612,213719942,17-Dec-04,2 hr 50 min,PG-13
Beauty and the Beast,2017,Walt Disney Studios Motion Pictures,160000000,174750616,504481165,761634799,1266115964,16-Mar-17,2 hr 9 min,PG
Ode to My Father,2014,CJ Entertainment,December 17 2014 (South Korea),33880,2300121,182527438,184827559,18-May-01,2 hr 7 min,PG-13
